Date,No.,Description,Debit,Credit
4/7/2016,,Desc 16,456.08,
4/11/2016,,Desc 50,446.94,
4/11/2016,,Desc 25,,378.41
4/17/2016,,Desc 6,46.23,
4/17/2016,,Desc 36,,200.55
4/19/2016,,Desc 27,347.78,
5/4/2016,,Desc 48,86.36,
5/4/2016,,Desc 48,,333.88
5/5/2016,,Desc 27,399.59,
5/6/2016,,Desc 2,344.17,
5/11/2016,,Desc 28,,182.24
5/27/2016,,Desc 46,347.12,
5/31/2016,,Desc 34,293.01,
6/3/2016,,Desc 23,395.98,
6/7/2016,,Desc 11,293.39,
6/12/2016,,Desc 36,165.53,
6/15/2016,,Desc 20,336.43,
6/18/2016,,Desc 49,366.03,
6/18/2016,,Desc 48,,317.24
6/19/2016,,Desc 50,405.69,
6/22/2016,,Desc 27,431.72,
6/23/2016,,Desc 14,308.8,
6/27/2016,,Desc 43,225.71,
6/27/2016,,Desc 41,121.55,
6/28/2016,,Desc 33,,124.86
6/30/2016,,Desc 20,183.78,
7/1/2016,,Desc 39,101.13,
7/2/2016,,Desc 43,26.46,
7/4/2016,,Desc 17,361.74,
7/5/2016,,Desc 36,322.91,
7/6/2016,,Desc 31,476.49,
7/8/2016,,Desc 45,377.28,
7/8/2016,,Desc 44,178.65,
7/11/2016,,Desc 9,,323.39
7/12/2016,,Desc 15,,235.86
7/16/2016,,Desc 19,44.71,
7/18/2016,,Desc 39,59.03,
7/18/2016,,Desc 6,170.68,
7/25/2016,,Desc 15,252.9,
7/28/2016,,Desc 29,452.79,
7/30/2016,,Desc 20,10.94,
8/1/2016,,Desc 49,452.61,
8/2/2016,,Desc 27,,206.44
8/7/2016,,Desc 19,,315.69
8/12/2016,,Desc 27,362.18,
8/16/2016,,Desc 19,56.58,
8/17/2016,,Desc 16,386.24,
8/17/2016,,Desc 2,328.05,
8/18/2016,,Desc 27,119.48,
8/23/2016,,Desc 42,240.01,
8/26/2016,,Desc 11,191.14,
8/28/2016,,Desc 6,397.2,
8/31/2016,,Desc 50,,321.81
9/2/2016,,Desc 25,426.01,
9/7/2016,,Desc 19,130.64,
9/9/2016,,Desc 14,59.84,
9/14/2016,,Desc 48,92.15,
9/22/2016,,Desc 45,374.03,
9/25/2016,,Desc 27,426.58,
9/30/2016,,Desc 40,355.68,
9/30/2016,,Desc 36,,332.26
10/1/2016,,Desc 4,412,
10/5/2016,,Desc 17,,181.49
10/5/2016,,Desc 33,396.35,
10/13/2016,,Desc 37,29.3,
10/14/2016,,Desc 14,81.56,
10/25/2016,,Desc 35,,83.35
10/25/2016,,Desc 16,,406.35
10/28/2016,,Desc 30,363.93,
10/29/2016,,Desc 15,223.82,
10/31/2016,,Desc 16,202.64,
11/6/2016,,Desc 29,56.21,
11/10/2016,,Desc 42,,304.43
11/11/2016,,Desc 22,408.19,
11/12/2016,,Desc 35,202.95,
11/12/2016,,Desc 4,380.39,
11/12/2016,,Desc 2,446.92,
11/13/2016,,Desc 36,,16.33
11/21/2016,,Desc 4,444,
11/23/2016,,Desc 30,247.61,
11/24/2016,,Desc 16,483.93,
11/24/2016,,Desc 29,,269.73
11/25/2016,,Desc 13,,22.78
11/25/2016,,Desc 29,,342.5
11/26/2016,,Desc 20,101.75,
12/2/2016,,Desc 49,,285.02
12/4/2016,,Desc 22,319.85,
12/5/2016,,Desc 6,,16.99
12/10/2016,,Desc 33,,141.63
12/12/2016,,Desc 22,299.04,
12/12/2016,,Desc 48,499.93,
12/14/2016,,Desc 30,,394.07
12/14/2016,,Desc 40,,166.8
12/15/2016,,Desc 34,350.29,
12/18/2016,,Desc 11,,275.34
12/19/2016,,Desc 10,170.05,
12/21/2016,,Desc 5,194.53,
12/21/2016,,Desc 42,364.32,
12/24/2016,,Desc 15,115.11,
12/24/2016,,Desc 1,,478.52
12/24/2016,,Desc 39,,335.19
12/26/2016,,Desc 48,19.54,
12/27/2016,,Desc 42,427.17,
1/1/2017,,Desc 2,,493.44
1/4/2017,,Desc 26,288.75,
1/6/2017,,Desc 14,494.23,
1/9/2017,,Desc 26,331.06,
1/9/2017,,Desc 9,191.32,
1/10/2017,,Desc 32,82.26,
1/17/2017,,Desc 25,,383.96
1/18/2017,,Desc 42,426.82,
1/18/2017,,Desc 47,126.53,
1/18/2017,,Desc 26,121.66,
1/18/2017,,Desc 2,19.21,
1/19/2017,,Desc 28,384.3,
1/20/2017,,Desc 13,478.61,
1/23/2017,,Desc 43,,306.08
1/29/2017,,Desc 7,360.17,
1/31/2017,,Desc 2,146.44,
2/1/2017,,Desc 34,274.92,
2/6/2017,,Desc 3,144.6,
2/8/2017,,Desc 40,157.99,
2/9/2017,,Desc 1,64.86,
2/12/2017,,Desc 39,232.18,
2/15/2017,,Desc 14,485.97,
2/27/2017,,Desc 50,46.86,
3/1/2017,,Desc 40,196.02,
3/1/2017,,Desc 32,,181.85
3/4/2017,,Desc 29,,59.23
3/5/2017,,Desc 47,379.92,
3/7/2017,,Desc 2,,228.19
3/9/2017,,Desc 6,301.43,
3/12/2017,,Desc 33,435.75,
3/14/2017,,Desc 49,,251.53
3/19/2017,,Desc 8,267.01,
3/20/2017,,Desc 21,,241.2
3/21/2017,,Desc 36,350.52,
3/26/2017,,Desc 37,,245.64
3/28/2017,,Desc 25,,478.02
4/2/2017,,Desc 44,265.95,
4/3/2017,,Desc 45,227.82,
4/4/2017,,Desc 45,80.41,
4/8/2017,,Desc 27,103.95,
4/9/2017,,Desc 47,78.26,
4/12/2017,,Desc 22,331.82,
4/17/2017,,Desc 37,466.97,
4/18/2017,,Desc 9,87.87,
4/20/2017,,Desc 25,278.12,
4/23/2017,,Desc 31,172.23,
4/26/2017,,Desc 42,243.71,
4/28/2017,,Desc 15,,314.54
4/30/2017,,Desc 8,186.28,
5/1/2017,,Desc 12,,134.94
5/2/2017,,Desc 9,,19.44
5/7/2017,,Desc 27,119.5,
5/10/2017,,Desc 33,86.87,
5/10/2017,,Desc 19,,55.07
5/14/2017,,Desc 48,146.46,
5/19/2017,,Desc 15,134.11,
5/24/2017,,Desc 16,479.9,
5/25/2017,,Desc 6,76.11,
5/27/2017,,Desc 22,,191.36
6/1/2017,,Desc 9,78.73,
6/2/2017,,Desc 36,277.55,
6/11/2017,,Desc 46,,465.18
6/12/2017,,Desc 13,423.83,
6/14/2017,,Desc 31,243.23,
6/16/2017,,Desc 18,406.92,
6/16/2017,,Desc 48,219.01,
6/17/2017,,Desc 14,238.01,
6/22/2017,,Desc 29,,155.04
7/1/2017,,Desc 30,361.53,
7/6/2017,,Desc 5,115.17,
7/8/2017,,Desc 18,,137
7/12/2017,,Desc 39,,449.4
7/13/2017,,Desc 50,224.57,
7/21/2017,,Desc 45,429.01,
7/21/2017,,Desc 14,168.16,
7/22/2017,,Desc 38,13.84,
7/31/2017,,Desc 2,205.1,
7/31/2017,,Desc 30,,39.26
8/2/2017,,Desc 28,445.98,
8/3/2017,,Desc 19,,361.84
8/4/2017,,Desc 42,372.45,
8/7/2017,,Desc 2,342.68,
8/9/2017,,Desc 23,464.22,
8/10/2017,,Desc 42,240.13,
8/12/2017,,Desc 47,342.44,
8/15/2017,,Desc 4,195.03,
8/22/2017,,Desc 26,,466.15
8/24/2017,,Desc 35,465.54,
8/24/2017,,Desc 25,157.08,
8/26/2017,,Desc 40,462.96,
9/7/2017,,Desc 24,412.36,
9/8/2017,,Desc 8,274.23,
9/10/2017,,Desc 26,378.55,
9/11/2017,,Desc 30,,181.73
9/15/2017,,Desc 39,128.42,
9/18/2017,,Desc 17,169.5,
9/18/2017,,Desc 26,,268.62
9/23/2017,,Desc 17,181.71,
9/24/2017,,Desc 19,354.87,
9/27/2017,,Desc 17,232.47,
9/29/2017,,Desc 47,352.22,
10/2/2017,,Desc 39,,252.89
10/3/2017,,Desc 39,409.66,
10/4/2017,,Desc 29,59.76,
10/6/2017,,Desc 3,133.55,
10/8/2017,,Desc 25,292.58,
10/9/2017,,Desc 5,131.46,
10/9/2017,,Desc 7,,43.83
10/10/2017,,Desc 49,157.68,
10/15/2017,,Desc 38,328.04,
10/21/2017,,Desc 19,15.55,
10/22/2017,,Desc 4,89.27,
10/22/2017,,Desc 44,,434.43
10/25/2017,,Desc 21,54.68,
10/25/2017,,Desc 40,20.98,
10/28/2017,,Desc 9,270.84,
10/28/2017,,Desc 16,81.59,
10/28/2017,,Desc 13,299.44,
10/30/2017,,Desc 1,174.84,
11/3/2017,,Desc 12,,470.46
11/6/2017,,Desc 22,,430.59
11/13/2017,,Desc 18,,430.36
11/14/2017,,Desc 18,40.01,
11/15/2017,,Desc 18,203.37,
11/19/2017,,Desc 22,75.78,
11/24/2017,,Desc 27,,128.08
11/26/2017,,Desc 30,63.06,
11/28/2017,,Desc 15,,58.05
12/5/2017,,Desc 3,48.09,
12/8/2017,,Desc 10,87.97,
12/8/2017,,Desc 25,434.51,
12/10/2017,,Desc 30,387.69,
12/12/2017,,Desc 9,106.62,
12/14/2017,,Desc 5,,336.18
12/16/2017,,Desc 27,307.32,
12/16/2017,,Desc 42,128.39,
12/16/2017,,Desc 4,,109.82
12/17/2017,,Desc 18,306.41,
12/24/2017,,Desc 31,,156.59
12/25/2017,,Desc 38,,356.9
12/28/2017,,Desc 40,28.56,
