Transaction Date,Posted Date,Description,Debit,Credit
4/11/2016,4/25/2016,Desc 9,,231.14
4/19/2016,4/22/2016,Desc 3,,107.18
4/30/2016,5/5/2016,Desc 45,,442.72
5/2/2016,5/11/2016,Desc 30,,75.58
5/8/2016,5/25/2016,Desc 15,,283.96
5/14/2016,5/15/2016,Desc 22,,239.4
5/26/2016,6/10/2016,Desc 41,137.76,
6/1/2016,6/19/2016,Desc 15,234.06,
6/9/2016,6/22/2016,Desc 42,336.5,
7/8/2016,7/13/2016,Desc 49,138.01,
8/1/2016,8/8/2016,Desc 25,,275.01
8/7/2016,8/13/2016,Desc 16,,384.33
8/22/2016,9/7/2016,Desc 7,,132.74
8/24/2016,8/31/2016,Desc 28,72.93,
8/26/2016,9/4/2016,Desc 18,,38.92
9/5/2016,9/16/2016,Desc 40,19.73,
9/9/2016,9/17/2016,Desc 46,169.94,
9/13/2016,9/30/2016,Desc 41,,429.79
9/23/2016,10/7/2016,Desc 41,,100.95
9/29/2016,10/2/2016,Desc 21,,327.11
10/19/2016,10/21/2016,Desc 21,124.28,
10/21/2016,10/29/2016,Desc 7,,356.64
10/23/2016,10/26/2016,Desc 6,104.62,
10/23/2016,11/7/2016,Desc 47,325.45,
10/30/2016,11/6/2016,Desc 13,419.19,
10/30/2016,11/17/2016,Desc 47,148.74,
11/2/2016,11/6/2016,Desc 17,,173.35
11/12/2016,11/17/2016,Desc 3,,453.73
11/16/2016,11/21/2016,Desc 16,,322.27
11/28/2016,11/30/2016,Desc 10,440.69,
11/28/2016,11/30/2016,Desc 13,,181.4
11/30/2016,12/10/2016,Desc 36,,28.06
12/1/2016,12/6/2016,Desc 44,35.82,
12/4/2016,12/12/2016,Desc 39,140.87,
12/6/2016,12/23/2016,Desc 41,,16.91
1/2/2017,1/20/2017,Desc 28,345.08,
1/15/2017,1/23/2017,Desc 6,184.5,
1/18/2017,1/23/2017,Desc 33,,284.11
1/24/2017,2/11/2017,Desc 39,134.89,
2/3/2017,2/13/2017,Desc 28,,38.06
2/19/2017,2/20/2017,Desc 44,110.65,
3/1/2017,3/10/2017,Desc 18,60.69,
3/12/2017,3/24/2017,Desc 27,50.14,
3/31/2017,4/10/2017,Desc 15,94.9,
4/6/2017,4/20/2017,Desc 13,394.44,
4/8/2017,4/24/2017,Desc 21,14.07,
4/14/2017,4/24/2017,Desc 22,,316.65
4/18/2017,4/25/2017,Desc 34,,78.72
4/21/2017,5/6/2017,Desc 4,257.46,
5/7/2017,5/9/2017,Desc 24,,246.54
6/3/2017,6/8/2017,Desc 21,322.42,
6/4/2017,6/19/2017,Desc 50,25.8,
6/6/2017,6/14/2017,Desc 42,,249.26
6/15/2017,6/23/2017,Desc 40,332.22,
6/22/2017,7/9/2017,Desc 48,,219.24
6/23/2017,7/8/2017,Desc 50,,145.1
6/23/2017,7/4/2017,Desc 29,184.01,
