Date,No.,Description,Debit,Credit
4/5/2016,,Deposit,,2168.45
4/19/2016,,Deposit,,2168.45
4/29/2016,,Deposit,,2168.45
5/15/2016,,Deposit,,2168.45
5/27/2016,,Deposit,,2168.45
5/27/2016,,Deposit,,2168.45
6/17/2016,,Transfer,1230,
6/22/2016,,Deposit,,2168.45
6/22/2016,,Deposit,,2168.45
6/24/2016,,Transfer,2495,
7/3/2016,,Deposit,,2168.45
7/14/2016,,Deposit,,2168.45
7/15/2016,,Deposit,,2168.45
7/21/2016,,Deposit,,2168.45
7/30/2016,,Transfer,2634,
8/19/2016,,Transfer,4453,
8/22/2016,,Transfer,3379,
8/22/2016,,Deposit,,2168.45
8/25/2016,,Deposit,,2168.45
9/6/2016,,Deposit,,2168.45
10/2/2016,,Deposit,,2168.45
10/7/2016,,Deposit,,2168.45
10/30/2016,,Deposit,,2168.45
11/7/2016,,Deposit,,2168.45
11/8/2016,,Deposit,,2168.45
11/12/2016,,Deposit,,2168.45
11/23/2016,,Deposit,,2168.45
12/1/2016,,Deposit,,2168.45
12/5/2016,,Deposit,,2168.45
12/12/2016,,Deposit,,2168.45
12/21/2016,,Deposit,,2168.45
1/6/2017,,Deposit,,2168.45
1/31/2017,,Transfer,1638,
2/5/2017,,Transfer,1448,
2/17/2017,,Transfer,1286,
2/23/2017,,Transfer,4115,
3/9/2017,,Deposit,,2168.45
4/2/2017,,Deposit,,2168.45
4/13/2017,,Transfer,1962,
4/16/2017,,Transfer,3899,
4/18/2017,,Transfer,4449,
5/8/2017,,Deposit,,2168.45
5/21/2017,,Transfer,3086,
6/2/2017,,Deposit,,2168.45
6/7/2017,,Deposit,,2168.45
7/5/2017,,Transfer,2966,
7/15/2017,,Deposit,,2168.45
9/5/2017,,Deposit,,2168.45
9/25/2017,,Deposit,,2168.45
9/28/2017,,Deposit,,2168.45
10/26/2017,,Deposit,,2168.45
11/1/2017,,Transfer,1462,
11/7/2017,,Deposit,,2168.45
11/11/2017,,Deposit,,2168.45
11/16/2017,,Deposit,,2168.45
11/16/2017,,Deposit,,2168.45
11/16/2017,,Deposit,,2168.45
12/5/2017,,Deposit,,2168.45
12/11/2017,,Transfer,4746,
12/26/2017,,Transfer,3857,
12/26/2017,,Deposit,,2168.45
1/2/2018,,Deposit,,2168.45
1/11/2018,,Deposit,,2168.45
1/29/2018,,Deposit,,2168.45
2/5/2018,,Deposit,,2168.45
2/17/2018,,Transfer,4901,
2/19/2018,,Deposit,,2168.45
3/24/2018,,Deposit,,2168.45
3/26/2018,,Deposit,,2168.45
3/27/2018,,Deposit,,2168.45
4/15/2018,,Deposit,,2168.45
4/15/2018,,Deposit,,2168.45
4/22/2018,,Deposit,,2168.45
5/4/2018,,Deposit,,2168.45
5/11/2018,,Deposit,,2168.45
5/15/2018,,Deposit,,2168.45
5/27/2018,,Transfer,2275,
6/25/2018,,Transfer,4949,
7/7/2018,,Transfer,3954,
7/9/2018,,Deposit,,2168.45
7/18/2018,,Deposit,,2168.45
7/27/2018,,Deposit,,2168.45
8/10/2018,,Deposit,,2168.45
8/18/2018,,Deposit,,2168.45
9/9/2018,,Deposit,,2168.45
9/12/2018,,Transfer,2115,
9/25/2018,,Deposit,,2168.45
10/8/2018,,Deposit,,2168.45
10/15/2018,,Transfer,2909,
10/22/2018,,Deposit,,2168.45
10/29/2018,,Deposit,,2168.45
11/3/2018,,Deposit,,2168.45
11/11/2018,,Deposit,,2168.45
11/11/2018,,Deposit,,2168.45
11/19/2018,,Deposit,,2168.45
12/1/2018,,Deposit,,2168.45
12/13/2018,,Deposit,,2168.45
12/17/2018,,Deposit,,2168.45
12/19/2018,,Deposit,,2168.45
1/14/2019,,Deposit,,2168.45
1/20/2019,,Deposit,,2168.45
1/27/2019,,Deposit,,2168.45
2/2/2019,,Deposit,,2168.45
2/6/2019,,Deposit,,2168.45
2/13/2019,,Transfer,4720,
2/20/2019,,Deposit,,2168.45
3/5/2019,,Deposit,,2168.45
3/5/2019,,Deposit,,2168.45
3/16/2019,,Deposit,,2168.45
3/26/2019,,Deposit,,2168.45
4/19/2019,,Deposit,,2168.45
4/20/2019,,Deposit,,2168.45
4/22/2019,,Deposit,,2168.45
4/29/2019,,Transfer,3691,
4/29/2019,,Deposit,,2168.45
4/30/2019,,Deposit,,2168.45
5/4/2019,,Deposit,,2168.45
5/5/2019,,Deposit,,2168.45
